ASN,Count,Cumul_C,Share,Cumul_S,ASName,ASCountry
13335,1264,1264,13.471171267185337%,13.471171267185337%,CLOUDFLARENET,US
16509,989,2253,10.540338910796121%,24.011510177981457%,AMAZON-02,US
14618,638,2891,6.799531066822978%,30.811041244804432%,AMAZON-AES,US
54113,506,3397,5.3927315357561545%,36.20377278056059%,FASTLY,US
15169,485,3882,5.168922519450069%,41.37269530001066%,GOOGLE,US
16625,270,4152,2.877544495363956%,44.25023979537461%,AKAMAI-AS,US
8075,191,4343,2.0355962911648726%,46.28583608653948%,MICROSOFT-CORP-MSN-AS-BLOCK,US
2635,135,4478,1.438772247681978%,47.724608334221465%,AUTOMATTIC,US
19551,132,4610,1.406799531066823%,49.13140786528828%,INCAPSULA,US
16276,110,4720,1.1723329425556859%,50.30374080784398%,OVH,FR
37963,106,4826,1.129702653735479%,51.43344346157945%,CNNIC-ALIBABA-CN-NET-AP Hangzhou Alibaba Advertising Co. Ltd.,CN
24940,75,4901,0.7993179153788768%,52.23276137695832%,HETZNER-AS,DE
14061,74,4975,0.788660343173825%,53.02142172013215%,DIGITALOCEAN-ASN,US
20940,71,5046,0.75668762655867%,53.778109346690826%,AKAMAI-ASN1,EU
4808,66,5112,0.7033997655334115%,54.48150911222424%,CHINA169-BJ China Unicom Beijing Province Network,CN
786,59,5171,0.6287967600980496%,55.110305872322286%,JANET Jisc Services Limited,GB
63949,46,5217,0.4902483214323777%,55.60055419375466%,LINODE-AP Linode LLC,US
4134,39,5256,0.4156453159970159%,56.01619950975167%,CHINANET-BACKBONE No.31 Jin-rong Street,CN
680,36,5292,0.3836725993818608%,56.39987210913354%,DFN Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.,DE
4837,33,5325,0.3516998827667058%,56.75157199190024%,CHINA169-BACKBONE CHINA UNICOM China169 Backbone,CN
23724,33,5358,0.3516998827667058%,57.10327187466695%,CHINANET-IDC-BJ-AP IDC China Telecommunications Corporation,CN
397223,33,5391,0.3516998827667058%,57.45497175743366%,?,??
3257,32,5423,0.341042310561654%,57.796014067995316%,GTT-BACKBONE GTT,DE
33070,31,5454,0.33038473835660237%,58.12639880635191%,RMH-14,US
36351,30,5484,0.31972716615155067%,58.44612597250346%,SOFTLAYER,US
4538,29,5513,0.30906959394649897%,58.755195566449956%,ERX-CERNET-BKB China Education and Research Network Center,CN
32244,29,5542,0.30906959394649897%,59.06426516039646%,LIQUIDWEB,US
10668,27,5569,0.2877544495363956%,59.35201960993286%,LEE-ASN,US
15133,27,5596,0.2877544495363956%,59.639774059469254%,EDGECAST,US
19994,27,5623,0.2877544495363956%,59.92752850900565%,RACKSPACE,US
2914,26,5649,0.2770968773313439%,60.204625386337%,NTT-COMMUNICATIONS-2914,US
14907,26,5675,0.2770968773313439%,60.48172226366834%,WIKIMEDIA,US
32934,26,5701,0.2770968773313439%,60.75881914099968%,FACEBOOK,US
21735,24,5725,0.25578173292124057%,61.01460087392092%,GANNET-3-21735,US
54994,24,5749,0.25578173292124057%,61.27038260684217%,QUANTILNETWORKS,US
13768,22,5771,0.23446658851113714%,61.504849195353295%,COGECO-PEER1,CA
132203,22,5793,0.23446658851113714%,61.739315783864434%,TENCENT-NET-AP-CN Tencent Building Kejizhongyi Avenue,CN
4812,21,5814,0.22380901630608546%,61.96312480017052%,CHINANET-SH-AP China Telecom (Group),CN
8560,21,5835,0.22380901630608546%,62.18693381647661%,ONEANDONE-AS Brauerstrasse 48,DE
31034,21,5856,0.22380901630608546%,62.410742832782695%,ARUBA-ASN,IT
30148,20,5876,0.2131514441010338%,62.62389427688373%,SUCURI-SEC,US
32475,20,5896,0.2131514441010338%,62.83704572098476%,SINGLEHOP-LLC,US
3356,19,5915,0.20249387189598209%,63.03953959288074%,LEVEL3,US
27357,19,5934,0.20249387189598209%,63.242033464776725%,RACKSPACE,US
33517,19,5953,0.20249387189598209%,63.44452733667271%,DYNDNS,US
45090,19,5972,0.20249387189598209%,63.64702120856869%,CNNIC-TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited,CN
8068,18,5990,0.1918362996909304%,63.838857508259615%,MICROSOFT-CORP-MSN-AS-BLOCK,US
26496,17,6007,0.1811787274858787%,64.0200362357455%,AS-26496-GO-DADDY-COM-LLC,US
46606,17,6024,0.1811787274858787%,64.20121496323138%,UNIFIEDLAYER-AS-1,US
6118,16,6040,0.170521155280827%,64.3717361185122%,MCCLATCHY-CORP,US
20596,16,6056,0.170521155280827%,64.54225727379303%,FUTURE,GB
201755,16,6072,0.170521155280827%,64.71277842907386%,SQUIZUK,GB
174,15,6087,0.15986358307577533%,64.87264201214963%,COGENT-174,US
209,15,6102,0.15986358307577533%,65.03250559522542%,CENTURYLINK-US-LEGACY-QWEST,US
6623,15,6117,0.15986358307577533%,65.19236917830118%,CBSI-1,US
396982,14,6131,0.14920601087072366%,65.3415751891719%,GOOGLE-PRIVATE-CLOUD,US
8100,13,6144,0.13854843866567196%,65.48012362783759%,ASN-QUADRANET-GLOBAL,US
58466,13,6157,0.13854843866567196%,65.61867206650325%,CT-GUANGZHOU-IDC CHINANET Guangdong province network,CN
137,12,6169,0.12789086646062028%,65.74656293296387%,ASGARR Consortium GARR,EU
766,12,6181,0.12789086646062028%,65.87445379942449%,REDIRIS RedIRIS Autonomous System,ES
20454,12,6193,0.12789086646062028%,66.00234466588512%,SSASN2,US
20473,12,6205,0.12789086646062028%,66.13023553234572%,AS-CHOOPA,US
393658,12,6217,0.12789086646062028%,66.25812639880635%,ATYPON,US
13238,11,6228,0.11723329425556857%,66.37535969306192%,YANDEX,RU
15395,11,6239,0.11723329425556857%,66.4925929873175%,RACKSPACE-LON,GB
60781,11,6250,0.11723329425556857%,66.60982628157306%,LEASEWEB-NL-AMS-01 Netherlands,NL
197068,11,6261,0.11723329425556857%,66.72705957582863%,QRATOR,RU
714,10,6271,0.1065757220505169%,66.83363529787914%,APPLE-ENGINEERING,US
792,10,6281,0.1065757220505169%,66.94021101992966%,ORACLE-ASNBLOCK-ASN,US
2152,10,6291,0.1065757220505169%,67.04678674198018%,CSUNET-NW,US
2200,10,6301,0.1065757220505169%,67.15336246403069%,FR-RENATER Reseau National de telecommunications pour la Technologie,FR
2497,10,6311,0.1065757220505169%,67.25993818608121%,IIJ Internet Initiative Japan Inc.,JP
3561,10,6321,0.1065757220505169%,67.36651390813174%,CENTURYLINK-LEGACY-SAVVIS,US
4816,10,6331,0.1065757220505169%,67.47308963018224%,CHINANET-IDC-GD China Telecom (Group),CN
7018,10,6341,0.1065757220505169%,67.57966535223277%,ATT-INTERNET4,US
20446,10,6351,0.1065757220505169%,67.68624107428329%,HIGHWINDS3,US
26347,10,6361,0.1065757220505169%,67.7928167963338%,DREAMHOST-AS,US
29802,10,6371,0.1065757220505169%,67.89939251838432%,HVC-AS,US
29873,10,6381,0.1065757220505169%,68.00596824043484%,BIZLAND-SD,US
47764,10,6391,0.1065757220505169%,68.11254396248535%,MAILRU-AS Mail.Ru,RU
7506,9,6400,0.0959181498454652%,68.20846211233082%,INTERQ GMO Internet Inc,JP
7859,9,6409,0.0959181498454652%,68.30438026217628%,PAIR-NETWORKS,US
17231,9,6418,0.0959181498454652%,68.40029841202174%,ATT-CERFNET-BLOCK,US
22612,9,6427,0.0959181498454652%,68.4962165618672%,NAMECHEAP-NET,US
29169,9,6436,0.0959181498454652%,68.59213471171267%,GANDI-AS Domain name registrar - http://www.gandi.net,FR
30811,9,6445,0.0959181498454652%,68.68805286155813%,EPISERVER_AS,SE
36647,9,6454,0.0959181498454652%,68.7839710114036%,YAHOO-GQ1,US
45102,9,6463,0.0959181498454652%,68.87988916124907%,CNNIC-ALIBABA-US-NET-AP Alibaba (US) Technology Co. Ltd.,CN
559,8,6471,0.0852605776404135%,68.96514973888948%,SWITCH Peering requests: (peering@switch.ch),EU
2611,8,6479,0.0852605776404135%,69.05041031652989%,BELNET,BE
6939,8,6487,0.0852605776404135%,69.1356708941703%,HURRICANE,US
8426,8,6495,0.0852605776404135%,69.22093147181072%,CLARANET-AS ClaraNET LTD,GB
11643,8,6503,0.0852605776404135%,69.30619204945113%,EBAY,US
14446,8,6511,0.0852605776404135%,69.39145262709154%,CNT-ASN,US
22772,8,6519,0.0852605776404135%,69.47671320473196%,LOGIN,US
